node_name,ogt_full_signal,ogt_presence_only_signal
Dorm3(366),51.42187,58.21012
Dorm4(367),53.9212,60.472523
Dorm5(368),45.91298,44.973106
Edwa1(369),40.863197,31.288345
Eise1(370),38.003437,29.87861
Eise2(371),31.240553,36.532063
Eise3(372),36.46301,40.11362
Eise4(373),27.767633,33.748466
Elus1(374),48.544632,53.898518
Elus10(375),34.23143,29.108301
Elus2(376),60.849953,54.22794
Elus3(377),29.1184,31.976358
Elus4(378),35.160835,30.636162
Elus5(379),41.9239,42.93793
Elus6(380),36.715435,29.051619
Elus7(381),31.108786,27.880798
Elus8(382),27.856098,29.495161
Elus9(383),28.128876,31.742645
Erem2(384),37.044525,31.263577
Erem3(385),50.10192,44.29793
Erem4(386),47.425495,30.226347
Erem5(387),35.60133,32.022827
Erem6(388),38.515953,32.16221
FCPU1(389),40.82501,29.153496
FCPU2(390),38.617428,29.674137
Ferm1(391),45.727688,50.50891
Fibr1(392),35.928555,33.33992
Fibr2(393),31.931025,29.310436
Fibr3(394),32.70507,36.472393
Fibr4(395),27.380936,34.29138
Fibr5(396),36.403122,35.219654
Fibr6(397),33.445995,28.270834
Fire1(398),31.187643,31.892952
FirmA1(399),39.15534,36.50862
FirmA10(400),36.21475,33.978302
FirmA100(401),35.752117,33.28457
FirmA101(402),59.921986,54.04939
FirmA102(403),31.663805,37.210247
FirmA103(404),35.950325,33.760063
FirmA104(405),30.143238,32.906017
FirmA105(406),33.402042,37.731106
FirmA106(407),37.47819,38.921394
FirmA107(408),44.669296,44.281094
FirmA108(409),44.889797,47.678135
FirmA109(410),40.24239,42.26487
FirmA11(411),54.085052,47.400383
FirmA110(412),32.323475,33.01839
FirmA111(413),68.61049,68.652374
FirmA112(414),32.527744,28.72862
FirmA113(415),53.701595,49.361767
FirmA114(416),31.954319,30.861938
FirmA12(417),33.7392,40.30075
FirmA14(418),33.082127,40.07085
FirmA16(419),55.95257,47.058342
FirmA18(420),33.002193,35.21106
FirmA19(421),33.234604,35.830826
FirmA2(422),42.15108,44.73052
FirmA20(423),31.640783,32.73998
FirmA21(424),33.658264,38.707954
FirmA24(425),42.086773,40.85844
FirmA25(426),32.422882,33.792564
FirmA26(427),37.080456,43.999744
FirmA27(428),31.814743,28.573427
FirmA28(429),47.319138,53.503727
FirmA29(430),34.81508,33.159985
FirmA30(431),31.201084,34.080524
FirmA31(432),49.72891,42.15581
FirmA32(433),62.110825,59.498898
FirmA33(434),37.083126,33.476467
FirmA34(435),39.906555,47.521328
FirmA35(436),45.719883,44.679134
FirmA36(437),32.403103,34.84894
FirmA37(438),53.253647,51.85212
FirmA38(439),40.01232,43.06112
FirmA39(440),34.326344,27.722351
FirmA40(441),31.160719,32.884953
FirmA41(442),57.82174,56.722015
FirmA42(443),38.12335,33.519615
FirmA43(444),33.826733,32.438442
FirmA44(445),39.69346,41.44243
FirmA45(446),32.603306,35.848312
FirmA46(447),44.653503,41.358543
FirmA47(448),37.56632,41.015995
FirmA48(449),62.254005,63.92675
FirmA49(450),34.46201,34.916107
FirmA5(451),38.026104,46.906246
FirmA50(452),30.888462,29.046005
FirmA51(453),33.269512,32.620125
FirmA52(454),30.710026,32.217022
FirmA53(455),43.64509,48.26529
FirmA54(456),58.771835,59.062447
FirmA55(457),36.17832,32.928726
FirmA56(458),49.572124,45.78992
FirmA57(459),37.833508,36.746784
FirmA58(460),37.250664,33.091602
FirmA59(461),50.52909,47.50068
FirmA6(462),37.719845,36.13966
FirmA60(463),55.580738,57.05035
FirmA61(464),50.50794,48.421753
FirmA62(465),35.64091,34.7488
FirmA63(466),33.252766,37.05262
