N_features,max_var,accuracy_test,accuracy_train,mean_cv
2638.0,0.06703658222510456,0.9705056179775281,1.0,0.9730520429030507
2637.0,0.06687478482613952,0.9705056179775281,1.0,0.9726438796377448
2636.0,0.06600499870562081,0.9705056179775281,1.0,0.9726438796377448
2635.0,0.06581893169681104,0.9705056179775281,1.0,0.9726438796377448
2634.0,0.06575963378409755,0.9705056179775281,1.0,0.9710078878177038
2633.0,0.06568624114951548,0.9705056179775281,1.0,0.9710078878177038
2632.0,0.06567773427596166,0.9705056179775281,1.0,0.9722323776136221
2631.0,0.06407118618510424,0.9705056179775281,1.0,0.9722323776136221
2630.0,0.0640371586908889,0.9705056179775281,1.0,0.9722323776136221
2629.0,0.06390563575368897,0.9705056179775281,1.0,0.9722323776136221
2628.0,0.06381798159579606,0.9705056179775281,1.0,0.9722323776136221
2627.0,0.06368504084633717,0.9705056179775281,1.0,0.9722323776136221
2626.0,0.06349780622743176,0.9705056179775281,1.0,0.9722323776136221
2625.0,0.06344726539043548,0.9705056179775281,1.0,0.9734568674095405
2624.0,0.06304085367643722,0.9719101123595506,1.0,0.9730487041442343
2623.0,0.06286129192387449,0.9719101123595506,1.0,0.9746838612745712
2622.0,0.06286079151954778,0.973314606741573,1.0,0.9742756980092651
2621.0,0.06272968558595345,0.973314606741573,1.0,0.9742756980092651
2620.0,0.06245955065025873,0.973314606741573,1.0,0.9738667000542549
2619.0,0.06236088759717852,0.973314606741573,1.0,0.9738667000542549
2618.0,0.06202795191848347,0.9719101123595506,1.0,0.9734585367889487
2617.0,0.06173438138015517,0.9719101123595506,1.0,0.9734585367889487
2616.0,0.06144431367211374,0.9719101123595506,1.0,0.9734585367889487
2615.0,0.06139794287117324,0.9719101123595506,1.0,0.9734585367889487
2614.0,0.06136491618561131,0.9719101123595506,1.0,0.9734585367889487
2613.0,0.06082039287744495,0.9719101123595506,1.0,0.9734602061683569
2612.0,0.06019221864599932,0.9705056179775281,1.0,0.9734602061683569
2611.0,0.06011799200420607,0.9705056179775281,1.0,0.9734602061683569
2610.0,0.059818249812515184,0.9705056179775281,1.0,0.9734602061683569
2609.0,0.05963676984336677,0.9705056179775281,1.0,0.9734602061683569
2608.0,0.0596295973813508,0.9705056179775281,1.0,0.9734602061683569
2607.0,0.05942559921750106,0.9691011235955056,1.0,0.9734602061683569
2606.0,0.05930958881442872,0.9691011235955056,1.0,0.9734602061683569
2605.0,0.05895263372805227,0.9691011235955056,1.0,0.9734602061683569
2604.0,0.05886990021270522,0.9691011235955056,1.0,0.9734602061683569
2603.0,0.05877632460361305,0.9691011235955056,1.0,0.9734602061683569
2602.0,0.05870039288041033,0.9691011235955056,1.0,0.9734602061683569
2601.0,0.058450811589097325,0.9691011235955056,1.0,0.9734602061683569
2600.0,0.058332132362949256,0.9691011235955056,1.0,0.9734602061683569
2599.0,0.05812513177313937,0.9691011235955056,1.0,0.9734602061683569
2598.0,0.058080011983015614,0.9691011235955056,1.0,0.9734602061683569
2597.0,0.05804414967293574,0.9691011235955056,1.0,0.9734602061683569
2596.0,0.057879766851616096,0.9691011235955056,1.0,0.9734602061683569
2595.0,0.05777779556993161,0.9691011235955056,1.0,0.9734602061683569
